Semente,Gerações,Indivíduo_mais_apto,Adaptação,Índice_de_Convergência,alfa_0,e
0,20,G20_37,1.6253371937187953,0.7986790858725686,10,0.4
0,300,G293_39,2.227682708666553,0.999431301939058,10,0.4
1,300,G300_11,2.1092608822670176,0.996295567867036,10,0.4
2,300,G300_23,2.3907284768211925,0.9964746537396116,10,0.4
3,300,G300_8,2.2661644695543006,0.9966398891966756,10,0.4
4,300,G296_17,2.2167638931532085,0.998464681440443,10,0.4
5,300,G265_35,2.2328437142931623,0.9992950138504152,10,0.4
6,300,G299_27,2.144790517907853,0.998387257617728,10,0.4
7,300,G300_10,2.3052362707535123,0.9968752077562324,10,0.4
8,300,G298_15,2.602557984530656,0.9979152354570636,10,0.4
9,300,G300_28,2.0292299044406974,0.9962608033240996,10,0.4
10,300,G299_46,2.100669188245563,0.9980652354570633,10,0.4
